subject,Question,Option A,Option B,Option C,Option D,Answer,Year,Explaination
Literature In English,"In literary criticism, the vocabulary or  language used by a writer is generally  known as",figure of speech,diction,expression,rhythm,B,2012,
Literature In English,"Weep not child, weep not my darling, With  these kisses, let me remove your tears The  ravening clouds shall no longer be victorious  They shall no longer possess the sky ...The  speaker of the lines is",pessimistic,optimistic,helpless,carefree,B,2012,
Literature In English,"'You see that Benz at the rich's end? Ha!  That motoka is motoka,lt belongs to the  Minister for fairness. Who yesterday was  loaded with a doctorate. At Makerere with  whisky and I don't know what Plus I hear  the literate thighs of an undergraduate  Theo Luzuka: The Motoka The excerpt  above can be described as",sad,humorous,strange,"serious 
 
Questions 43 to 50 are 
based on Literary 
Appreciation.",B,2012,
Literature In English,"`... for my purpose holds To sail beyond the  sunset and the baths; of all the western  stars, until I die.'Tennyson: Ulysses. From  the excerpt above, the persona does not  intend to",undertake dangerous adventure,stop travelling,die,travel at night,B,2012,
Literature In English,"'And my children left their peaceful  nakedness for the uniform of iron and  blood.' David Diop: Loser of Everything.  In the lines above, the imagery depicts a  displacement of",village life by barrack life Download MySchoolGist JAMB CBT Software from  https://www.myschoolgist.com/cbt/www.myschoolgist.com52,nature by science,innocence by violence,the natural by the artificial,C,2012,
Literature In English,"'Now we have come to you, And are amazed to  find Those you have loved and respected Mock  you to your face.' Kwesi Braw: Lest we  should Be The  Last  The lines above convey the feeling of",satisfaction,hope,disappointment C. fear  46. The times has come when I can fool myself no more I am no man sadiku. My manhood ended near a week ago. The lines above reveal that the speaker A. has become impotent B. loves women C. is tired of marriage,is disgusted with life.,C,2012,
Literature In English,'In those days When civilization kicked us in  the face When holy water slapped our  cringing brows. The vultures built in the  shadow of their talons.' David Diop: The  Vulture. The dominant Literary device used in  the lines above is,metaphor,pun,simile,personification.,D,2012,
Literature In English,‚ÄòThe leaves are withered Roses fold and  shrink Dog the panting athlete shows his  tongue dwarled A shadow flees Nude under  and crack.' Nuts wrinkle and crack.‚Äô W.  Kamera: Poems in Four Parts. One dominant  image presented in the lines above is that of,death,summer,tiredness,"spent life 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
53",A,2012,
Literature In English,"When I remember by gone days I think  how evening follows morning So many I  loved were not yet dead, So many I love  not yet born.  The period of life the poet has arrived at is",middle age,adolescence,old age,early childhood,A,2012,
Literature In English,"‚ÄòBehold her, single in the field You solitary  Highland lass! Reaping and singing by  herself  O listen! For the value profound is  overflowing with sound.‚Äô Words worth:  The Solitary Reaper.  The lines above constitute",an apostrophe,an aside,an interior monologue,"soliloquy 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
54 
 
ANSWER 
KEYS",D,2012,
Literature In English,D  2. A  3. B  4. D  5. C  6. A  7. A  8. B  9. C  10. A  11. C  12. A  13. C  14. B  15. C  16. A  17. B  18. A  19. D  20. B  21. A  22. C  23. C  24. B  25. B    26. A  27. C  28. C  29. B  30. B  31. A  32. A  33. A  34. D  35. A  36. D  37. A  38. D  39. B  40. B  41. B  42. B  43. B  44. C  45. C  46. A  47. D  48. A  49. A  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 55    UTME 2017 LITERATURE-IN-ENGLISH QUESTIONS  C. Othello's suspicion  Question 1 to 5 are based on Frank  Ogodo Ogbeche's Harvest of  Corruption  1. Aloho perceives her pregnancy as a  form of,reward,blessing,punishment,injustice,B,2012,
Literature In English,The play can be referred to as,dramatic irony,allegory,fable,satire,C,2012,
Literature In English,"According to Ochuole, government job is",a waste of time,time consuming,good for hardworking youths,an avenue to personalize public fund,A,2012,
Literature In English,En! En! En! You have come again... I am  not always comfortable when you start  dishing out this you born again stuff...',Ochuole,"Aloho 
 
5. Aloch is warned about associating with 
Ochuole be-cause the latter is 
A. too sophisticated 
B. proud",mischievous,"born-again 
 
Question 6 to 10 are based on 
William Shakespeare's Othello.",A,2012,
Literature In English,"She is abused, stol'n from me and  corrupted By spells and medicines  bought of mountebanks; . The excerpt  above refers to",Brabantio's suspicion,"lago's distrust of Emilia 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
56 
 
D. Cassio's disaffection for lago 
 
7. The play is first staged at 
A. Liverpool stadium 
B. Manchester stadium",Whitehall palace London,London Threatre,C,2012,
Literature In English,"`All's One-Good faith, how  foolish are our minds! If I do die  before thee, prithee, shroud me.  In one of those same sheets.'  The plea in the excerpt above is made by",Desdemona to Emilia,Othello to lago,Lago to Emilia,Cassio to Bianca,B,2012,
Literature In English,"‚ÄûLet him do his spite; My services  which I have done the signiory  Shall out-tongue his  complaints.'Tis yet to know  Which, when I know that boasting  is an honour,' The speaker in the  excerpt above is",Brabantio,Othello,Cassio,Lago,D,2012,
Literature In English,"‚ÄûO heaven; How got she out?  O treason of the blood  Father, from hence trust not  your daughter‚Äüs minds  By which the property of youth  and maidhood May be abused?  The speaker of the excerpt above is",Brabantio,Othello,Gratiano,"Roderigo 
 
Question 11 to 13 are based 
on Amma Darko's Faceless.",D,2012,
Literature In English,Sodom and Gomorrah used in the  novel is an example of  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 57,mixed metaphor,allusion,synecdoche,euphemism,A,2012,
Literature In English,The novel focuses on,stubborn children B. negligent parents C. greedy politicians D. peer group influence 13. Fofo chooses to spend the night in front of the provision store because A. it is a Sunday,she is ill,she does not want to risk losing her job,"she has nowhere to go 1 
 
Question 14 to 16 are based on Bayo 
Adebowale's Lonely Days.",B,2012,
Literature In English,Labankada signifies,wealth and peace,wealth and life,wealth and prosperity,wealth and protection,B,2012,
Literature In English,The women of kufi are powerful,singers,farmers,traders,widows,C,2012,
Literature In English,The windows in the land are joined by  the loss of,love,family,fame and wealth,"dignity and status 
 
Question 17 to 20 are based on 
Richard Wright's Native Son",A,2012,
Literature In English,'Light flooded the room and revealed  a black boy standing in a narrow  space between two' The style of the  lines above is,narrative,dramatic,descriptive,expository,A,2012,
Literature In English,Bigger kills Mary due to,fear,envy,hatred,distrust,A,2012,
Literature In English,"Weekly, Bigger is to be paid",twenty dollars,twenty-five dollars,thirty dollars,thirty-five dollars,D,2012,
Literature In English,Mr Dalton is of the opinion that Negroes  are happier when they are,together,servants in the white family,educated,"given some respect 
 
Question 21 to 30 are based on 
Selected Poems from Johnson, Ret 
al(eds): New poetry from Vincent, 
T.(eds): A selection of African 
Poetry; Gbemisola.: Naked Soles; 
Hayward, J African Verse. Morris'",A,2012,
Literature In English,The Proud King is,didactic,pastoral,traditional,lyrical,C,2012,
Literature In English,Mystic rhythm in the third line of the first  stanza of Okara's Piano and Drums,express mood,provides music,carries a definite message,"are for pleasurable dancing 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
58",B,2012,
Literature In English,The line above in Adeoti's Ambush is an  example of,pun,alliteration,metaphor,simile,A,2012,
Literature In English,The mood of the person in  Tennyson's Crossing the Bar is that,pain,frustration,hope,love,A,2012,
Literature In English,"Having a glass of blessings standing by,'  The line above from Herbert's The Pulley  is an example of",synecdoche,personification,hyperbole,simile,B,2012,
Literature In English,Peter's the Panic of Growing Older can  be referred to as,metaphysical,philosophical,satirical,metaphorical,A,2012,
Literature In English,One vivid device in Blake‚Äüs The School  Boy is,oxymoron,rhetorical question,ironical statement,metaphor,A,2012,
Literature In English,‚Äû‚Ä¶ and my boots have suddenly  become too reluctant to walk me.‚Äü  The persona in the above excerpt in  Hallowell's The Dining Table is,exhausted,excited,indifferent  29. The tone of Diopo‚Äüs Vanity is one of A. anger B. pity C. joy,scorn,B,2012,
Literature In English,Awoonor's The Anvil and the Hammer  presents a picture of the,past and present,past and future,future,"olden days 
 
Question 31 to 40 are based on 
General Literacy Principles",A,2012,
Literature In English,Totality of the effects produced on a  reader of a literary work is,tone,mood,plot,diction,A,2012,
Literature In English,An art form in which singers and  musicians performs dramatic work  combining text and music is,concert,opera,theatre,pantomime,B,2012,
Literature In English,"In literature, local colour is",universal,restricted,only English,"only American 
 
34.A clue to an event that will happen later 
in a work of art is 
A. flashback 
B. fore- shadowing 
C. premonition 
D. digression 
 
35.. . Comedy of lower kind in which 
believability is sacrificed for the main 
objective of exciting laugh is 
A. farce 
B. comedy 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
59 
 
C. melodrama 
D. tragi comedy",C,2012,
Literature In English,‚ÄûI am on the world's extreme  corner.' Kofi Awoonor: Song of Sorrow.  The speaker in the lines move is,indifferent,sad,angry,in pain,B,2012,
Literature In English,"Then I sat myself quiet... for five  And forty turbulent years I waited,  sapped, famished,  For love to wake from her sickly  slumber;  The figure of speech in the last line  above is",assonance,personification,metaphor,oxymoron,A,2012,
Literature In English,We have rain but hate to plant  We have the heat and the glory of the  rainbow  But we kill our own suns with hurtful  glee  The poet's feeling call be described as  that of,disappointment,indifference,anxiety,joy,C,2012,
Literature In English,"When I remember by gone days  I think how evening follow morning  So many I loved were not yet dead,  So may I love not yet born  The period of life the poet has arrived at  is",middle age,adolescence,old age,early childhood,A,2012,
Literature In English,"‚ÄûBehold her, single in the field  You solitary Highland Lass‚Äü  Reaping and singing by herself  O listen! for the value profound  Is overflowing with the sound.‚Äü Words  worth: The Solitary Reaper  The lines above constitute",an apostrophe,an aside,an interior monologue,"soliloquy 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
60 
 
ANSWER KEYS",B,2012,
Literature In English,C  2. C  3. D  4. C  5. C  6. A  7. D  8. A  9. A  10.A  11.B  12.B  13.C  14.C  15.C  16.D  17.C  18.A  19.B    20.B  21.A  22.C  23.B  24.C  25.A  26.A  27.B  28.A  29.A  30.A  31.B  32.B  33.B  34.B   35.A  36.B  37.B  38.A  39.A  40.A  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 61    UTME 2018 LITERATURE-IN-ENGLISH QUESTIONS      Questions 1 to 10 are based on  General Literacy Principles.  6. A poet's use of regular rhythm is known  as    1. A literary work in which the  characters and events are used as  symbols is known as,characteristics,allegory,metaphor,parallelism,B,2012,
Literature In English,Characterisation in a novel refers to the,writer‚Äüs opinion of the characters,"way the characters are revealed 
to the reader",characters and the way they behave,readers of the characters.,C,2012,
Literature In English,"In literacy work, verbal Irony refers to a",device in which the speaker means the opposite of what he says,"situation in which a Character 
speaks or acts against the tread of 
events",difficult situation which defies a local or rational resolution,"device in which the actor on stag: 
means exactly what he says.",A,2012,
Literature In English,"In the theatre, words spoken by a  character that are meant to be heard by  the audience but not by the other;  characters on stage is called",aside,soliloquy,acoustic,tone,A,2012,
Literature In English,Drama is the representation of a  complete series of actions by means of,movement and gesture for the screen and audience,"speech, movement and 
gesture for the stage only","speech, movement and gesture for the stage, screen and radio","speech, gesture and movement 
for the screen and radio 
A. allegory 
B. assonance 
C. metre 
D. onomatopoeia.",B,2012,
Literature In English,A literacy genre which directly imitates  human actions is,drama,comedy,prose,poetry,A,2012,
Literature In English,A fable is a story in which,allegations are made about characters,"animals or things are used as 
characters",there is an important setting,the story is told in poetic farm,B,2012,
Literature In English,The juxtaposition of two contrasting  ideas in a line of poetry is,euphemism,synecdoche,catharsis,oxymoron,D,2012,
Literature In English,The main aim of caricature is to,describe,expose,emphasize,"ridicule. 
 
Questions 11 to 13 are based on 
Richard Writer's Native Son.",D,2012,
Literature In English,Bigger kills Mary due to,fear,envy,hatred,distrust,A,2012,
Literature In English,"Weekly, Bigger is to be paid",twenty dollars,twenty-five dollars,thirty dollars,"thirty-five dollars 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
62",B,2012,
Literature In English,Mr Datton is of the opinion that  Negroes are happier when they are,together,servants in the white family,educated,"given some respect. 
 
Questions 14 to 16 are based on 
Bayo Adebowale's Lonely Days.",B,2012,
Literature In English,Windows in mourning in Kofi  wear garments that are,red,black,white,dull,B,2012,
Literature In English,"In the novel, bage cape signifies  everlasting",happiness,sorrow,freedom,despair.,C,2012,
Literature In English,Yaremi's only son is,Alani,Wande,Olode,"Deyo. 
 
Questions 17 to 20 are based on 
George Orwell's Nineteen Eighty- 
four.",A,2012,
Literature In English,The novel draws a picture of,a useless past,a totalitarian future,an unstable moment,a peaceful atmosphere,A,2012,
Literature In English,The power and oppression of an  irresistible evil debased  Winston's dreams of,freedom and democracy,internal security,wealth and capitalism,sovereignty,A,2012,
Literature In English,Room 101 symbolises a place of,rest,fun,humiliation,torture,D,2012,
Literature In English,The novel can be described as,optimistic,antagonistic,persuasive,"pessimistic. 
 
Questions 21 to 25 are based on 
J.P Clark's Wives Revolt.",A,2012,
Literature In English,"In the play, the central idea is that  gender equality is",both undesirable and unattainable,desirable but unattainable,attainable and desirable,obnoxious but desirable,C,2012,
Literature In English,"In their flight, the women settle at Iyara  in order to",cure cross-piece,hurt their husbands,forestall reconciliation,seek peace,B,2012,
Literature In English,"`...Great Orators in the assembly, and  poor nannies at home:"" Those being  ridiculed here are the",husbands,old-women,wives,spinsters,A,2012,
Literature In English,"‚Ä¶Those with full breasts have walked  out, and that leaves you, me, and, the  old-girls returned home on retirement,  it's the dry season child."" The character  to whom the words are spoken in the  play is in",front of the veranda of Okoro's house,"the-kitchen, upstage","Okoro's front yard, down stage","the direction of the kitchen, off 
stage",A,2012,
Literature In English,The mutual exchange of abuse in the  play is reminiscent of,Ikaki,"Udje 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
63",Etiyeri,"Ekpe 
 
Questions 26 to 30 are based on 
Williams's Shakespeare's Othello.",B,2012,
Literature In English,"""ill-starred wench, Pale as thy smoke;  When we shall meet at compt""  The device used in the line above is",simile,pun,metaphor,paradox,A,2012,
Literature In English,Othello kills Desdemona because the,former is jealous,former's race is insulted,latter is a witch,latter is an idol,A,2012,
Literature In English,Brabantio is opposed to the relationship  between Othello and Desdemona  because,he prefers Lago,Othello is a moor,Rodgerigo woos her first,Desdemona is too young,B,2012,
Literature In English,"""Soft you; a word or two before you go.  I have done the state some service an,'  they know' No more of that, I pray you,  in your letters, When you shall these  unlucky deeds relate"" The speech above  is made when the speaker is",travelling,sick,dying,eloping,C,2012,
Literature In English,"""0 heaven; How got she out?  O treason of the blood!  Father; from hence trust not your  daughters' minds  By what you see them act. Is there not  charms  By which the property of youth and  maidhood  May be abused?  The speaker of the excerpt above is",Brabantio,Othello,Gratiano,"Roderigo 
 
Use the following excerpt to answer 
questions 31 to 33. 
 
""I wonder how long, you awful parasites, 
Shall share with me this little bed, 
And awake me, from my sweet dreams 
be lost, 
Sucking blood from my poor head... 
Mbure: ""To Bed-Bug""",A,2012,
Literature In English,The lines are an example of a,limerick,lampoon,light verse,light opera.,A,2012,
Literature In English,The poet persona expresses dismay  about,bat,cockroaches,grass coppers,light opera,B,2012,
Literature In English,The most dominant figure of speech in  the excerpt is,metaphor,simile,personification,hyperbole,C,2012,
Literature In English,You  Your head is like a drum that is beaten  for spirits  Your  Yours ears are like the fans used for  blowing fire.  The lines above are a good example of,caricature,ridicule,satire,lampoon.,D,2012,
Literature In English,How can I look at Oyo and say  I hate long shiny cars? How can I  come to the children and despise  international schools? And Koomson  comes; and the family semi Jesus  Christ in him...  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 64    The feeling conveyed by the speaker  40. The lines above inform the reader  above is one of  that poet,anger E. is determined to suffer,"alienation 
F. has his poetic imagination kindled",hope G. will cure his soar mood H. will not drink much,despair,D,2012,
Literature In English,"""Hide me now, when night children  haunt the earth"" Wole Soyinka:  ""Night"" Night children in the stanza  above reflects the consciousness of",birds,armed robbers,animals,spirit beings,B,2012,
Literature In English,"Serrated shadows, through  dark leaves  Till, bathed in warm suffusion of  your dapped cells  Sensation pained me, faceless, silent  as night thieves  Wole Soyinka: ‚ÄúNight‚Ä  The dominant mood in the lines above is  one of",apprehension,defiance,joy,"indifference 
38.‚ÄúThe drum overwhelmed the guns‚Ä¶‚Äù 
J.P Clark: ‚ÄúCausalities‚Äù 
The poet in the excerpt above uses 
A. litotes 
B. symbolism 
C. onomatopoeia 
D. alliteration 
39.‚Äú‚Ä¶ They do not see the funeral piles, 
At home eating up the forests‚Ä¶‚Äù J.P 
Clark: ‚ÄúCausalities‚Äù The imagery 
created in the above uses 
A. metaphor 
B. personification 
C. synecdoche 
D. metonymy 
‚ÄúI cannot rest from travel: I will 
drink, life to the lees, all times I 
have enjoyed, Greatly, have suffered 
greatly‚Äù. A.L. Tennyson: ‚ÄùUlysses‚Äù 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
65 
 
 
 
19.D 
20.A 
21.C 
22.B 
23.A 
24.A 
25.B 
26.A 
27.A 
28.B 
29.C 
30.A 
31.A 
32.B 
33.C 
34.D 
35.D 
36.B 
37.A 
38.C 
39.A 
40.B 
ANSWER KEYS",A,2012,
Commerce,Commerce is defined as the study of how,man utilizes the resources in his physical environment,"man produces, distributes and consumes his goods and services","man buys, sells and distributes goods and services",raw materials are changed into finished goods,C,1994,
Commerce,The type of activity which turns processed raw materials into consumer and industrial goods is described as,extractive,manufacturing,constructive,processing,B,1994,
Commerce,The production process that combines two or more raw materials into one end product is,conditioning,blending,merging,synthesis,D,1994,
Commerce,A demonstration of social responsibility by a business is the payment of,taxes to government,dividends to shareholders,interest on loans,premium for insurance,A,1994,
Commerce,A distinguishing characteristic of a limited liability company is that it,is a collection of many sole proprietors,is a multiple partnership,can sue and be sued,has limited resources,C,1994,
Commerce,Which of the following takes place when firms producing at different stages in the same industry combine?,Conglomeration,Vertical integration,Horizontal integration,Cartel,B,1994,
Commerce,Which of the following groups is paid first when a firm liquidates?,Preference shareholders,Debenture holders,Ordinary shareholders,Cumulative preference shareholders,B,1994,
Commerce,Compulsory dissolution of a business can arise from,an agreement by the owners,a declaration by a court of law,the termination of its life,an unfavourable economic climate,B,1994,
Commerce,What is the circulating capital of the sole proprietor?,"N27,380","N34,980","N36,180","N51,680",D,1994,
Commerce,"What is the working capital as at December 31, 1992?","N65,250","N60,000","N48,650","N41,950",D,1994,
Commerce,"A company earned a total revenue of N108 million with a total cost of N91 million in 1991. If it paid 45% tax on its gross profit for that year, determine its net profit.",N24.65 million,N17.00 million,N9.35 million,N7.65 million,C,1994,
Commerce,What are fixtures and fittings in a balance sheet?,Liquid capital,Current assets,Fixed assets,Working capital,C,1994,
Commerce,Government impose import duties for the following reasons EXCEPT,to raise revenue for other services,to act as as a retaliatory measure against other governments,to discourage the redistribution of income at home,to protect home industries from external competition,C,1994,
Commerce,Sole enterprise may flourish best in,a mining business,a retailing business,an oil exploration business,a car assembly business,B,1994,
Commerce,The use of coin-operated machines to sell goods is a form of,personal selling,retailing,wholesaling,mail-order selling,B,1994,
Commerce,What are the factors with which commercial undertakings can be distinguished?,I and II only,I and III only,II and III only,III and IV only,B,1995,
Commerce,The development of commercial activities in Nigeria was facilitated largely by,a good transport system,the indigenization decree,a convenient medium of exchange,a high level of production,C,1995,
Commerce,In which of the following sets of occupations can an industrial worker be found?,"Extraction, commerce and construction","Manufacturing, extraction and banking","Construction, quarrying and insurance","Manufacturing, extraction and construction",D,1995,
Commerce,Construction activities include the building of houses and roads as well as,bricklaying,shoemaking,blacksmithing,car assembling,A,1995,
Commerce,"If a partnership deed is silent on how profits are to be shared, partners share profits",in the ratio of business secured,in the ratio of capital contributions,in an equal proportion,according to duties performed,C,1995,
Commerce,Which of the following information is contained in the Articles of Association of a limited liability company?,Rights and obligations of directors,Objectives of the company,Amount of share capital,Limitation of liability of shareholders,A,1995,
Commerce,The merger of two companies producing the same type of products is an example of,vertical integration,horizontal integration,lateral merger,an acquisition,B,1995,
Commerce,One of the implications of the incorporation of a company is that,it is more difficult to raise loans,company can sue but cannot be sued,company's property is distinguished from members,members become liable for all debts,C,1995,
Commerce,The main advantage of a sole trader is the freedom to,employ anyone he likes,seek advice from any source,take quick decisions,plough all profits back,C,1995,
Commerce,"In the case of voluntary liquidation of a business, the receiver is appointed by the",creditors,debtors,directors,shareholders,D,1995,
Commerce,Which of the following are the components of commerce?,I Trading and advertising,II Warehousing and transportation,III Packaging and branding,"IV Insurance and banking. (Correct combo: I, II and IV)",C,1996,
Commerce,A royal charter was granted to the Royal Niger Company to do business in Nigeria in,"December, 1888","May, 1887","July, 1886","August, 1885",C,1996,
Commerce,"Transportation, retailing and wholesaling industries rely heavily on",banking,insurance,manufacturing,railway,A,1996,
Commerce,An example of indirect service is rendered by,civil servants,family doctors,household servants,entertainers,A,1996,
Commerce,The objectives of a business are determined by the,workers,government,society,promoters,D ,1996,
Commerce,Partnerships are most suitable where,family friends are partners,professionals are involved,capital is easily raised,regulations are favourable,B,1996,
Commerce,(Based on conversation) The businessman that may end up not discharging his social responsibility is,Musa,Okon,Taiwo,Kalu,B ,1997,
Commerce,The major objective of corporate mergers is to,minimize taxation,increase financial advantage,facilitate profit maximization,enhance economies of scale,D,1997,
Commerce,The business organization in which shareholders have equal votes is,sole proprietorship,partnership,co-operative,limited liability company,C,1997,
Commerce,"When it becomes necessary to liquidate a company, the first step is the appointment of",a receiver,an auditor,an accountant,a liquidator,D,1997,
Commerce,One type of investment that has a variable income is,debentures,preferred shares,government bonds,ordinary shares,D,1997,
Commerce,Leasing is the right to use assets for an agreed period in return for,profit,interest,wages,rents,D,1997,
Commerce,The mode of transportation noted for on-time dependability and low cost per unit is,pipeline,air,rail,road,C,1997,
Commerce,A person who undertakes any risk in insurance business is known as,a broker,an underwriter,an insurer,an actuary,B,1997,
Commerce,Which factor contributed least to the evolution of commercial activities in Nigeria?,Development of banks,Development of transport,Development of traders' unions,Development of currencies,C,1998,
Commerce,Extractive industries may also be denominated as,direct industries,servicing industries,primary industries,indirect industries,C,1998,
Commerce,The primary objective of a business organization is to,cater for owner needs,work towards making returns,assist government,improve proprietor standards,B,1998,
Commerce,Services which are of absolute monopoly can best be provided by,private companies,limited companies,public companies,public enterprises,D,1998,
Commerce,What is the acid ratio for SONU Enterprises (from data)?,2.95:1,4.25:1,4.75:1,5.55:1,B ,1998,
Commerce,Entrepot trade takes place when goods are,held at port,sold in the ship,imported and re-exported,kept for processing,C,1998,
Commerce,The production process that turns raw materials into semi-finished goods is,manufacturing,extractive,processing,constructive,C,1999,
Commerce,A disadvantage of a sole proprietorship is that,it is easy to form,there is a lack of continuity,the owner takes all profits,decisions are made quickly,B,1999,
Commerce,Which of the following is a primary industry?,Banking,Construction,Agriculture,Insurance,C,1999,
Commerce,The document that gives a person the right to use a business's trademark is a,patent,license,copyright,franchise,D,1999,
Commerce,A limited partner is one whose liability is limited to his,personal assets,total wealth,capital contribution,share of profit,C,1999,
Commerce,"When a company is nationalized, the government becomes",a minority owner,the only owner,a creditor,a partner,B,2000,
Commerce,Which of the following is an aid to trade?,Mining,Banking,Fishing,Quarrying,B,2000,
Commerce,The merger of a textile mill and a cotton farm is an example of,horizontal merger,vertical merger,conglomerate merger,lateral merger,B,2000,
Commerce,The reward for capital as a factor of production is,wages,rent,interest,profit,C,2000,
Commerce,The process of distributing goods from the producer to the consumer is,marketing,commerce,trading,production,B,2000,
Commerce,A pro-forma invoice is used to,request for payment,inform about price,demand for goods,send goods on approval,B,2001,
Commerce,Which of the following is a function of a wholesaler?,Selling in bits,Providing credit to consumers,Breaking bulk,Advertising to final users,C,2001,
Commerce,The document of title in foreign trade is the,bill of exchange,bill of lading,indent,certificate of origin,B,2001,
Commerce,Insurance works on the principle of,subrogation,indemnity,pooled risk,contribution,C,2001,
Commerce,The tax paid on locally manufactured goods is,customs duty,excise duty,import duty,export duty,B,2001,
Commerce,Which of the following is a long-term source of finance?,Overdraft,Trade credit,Debentures,Factoring,C,2002,
Commerce,The marketing mix consists of,"Product, Price, Place, Promotion","People, Place, Profit, Price","Product, People, Price, Place","Plan, Price, Product, Promotion",A,2002,
Commerce,A market for existing shares is the,primary market,money market,stock exchange,capital market,C,2002,
Commerce,The act of using another personís business name illegally is,passing off,trademarking,copyrighting,patenting,A,2002,
Commerce,A business organization owned and managed by the government is a,partnership,cooperative,public enterprise,public company,C,2002,
Commerce,The main aim of advertising is to,increase price,reduce competition,inform and persuade,eliminate middlemen,C,2003,
Commerce,A cheque that is not presented within six months of issue is,post-dated,stale,crossed,dishonoured,B,2003,
Commerce,The difference between visible exports and visible imports is,balance of payments,balance of trade,terms of trade,current account,B,2003,
Commerce,Which of the following is a form of electronic banking?,Cheque book,ATM,Bank draft,Passbook,B,2003,
Commerce,The act of selling goods in a foreign market at a price lower than home price is,hedging,dumping,arbitrage,smuggling,B,2003,
Commerce,The highest policy-making body in a company is the,board of directors,management,shareholders,auditors,A,2004,
Commerce,A person who helps a company sell its shares to the public is,an agent,a broker,an underwriter,a jobber,C,2004,
Commerce,The right of an insurer to stand in the place of the insured after compensation is,indemnity,contribution,subrogation,proximate cause,C,2004,
Commerce,Which of the following is a function of the Central Bank?,Accepting deposits,Issuing currency,Lending to individuals,Providing trade credit,B,2004,
Commerce,A contract that is illegal from the beginning is,voidable,void,valid,unenforceable,B,2004,
Commerce,Commerce is defined as the study of how,man utilizes resources,man produces/consumes,man buys/sells/distributes,raw materials are changed,C,1994,
Commerce,Activity turning raw materials into consumer goods,extractive,manufacturing,constructive,processing,B,1994,
Commerce,Process combining two or more raw materials into one,conditioning,blending,merging,synthesis,D,1994,
Commerce,Social responsibility by a business is the payment of,taxes to government,dividends,interest on loans,premium for insurance,A,1994,
Commerce,Distinguishing characteristic of a limited company,many sole proprietors,multiple partnership,can sue and be sued,has limited resources,C,1994,
Commerce,Firms at different stages in the same industry combine,Conglomeration,Vertical integration,Horizontal integration,Cartel,B,1994,
Commerce,Group paid first when a firm liquidates,Preference shareholders,Debenture holders,Ordinary shareholders,Cumulative pref shares,B,1994,
Commerce,Compulsory dissolution of a business arises from,owner agreement,court declaration,termination of life,bad economic climate,B,1994,
Commerce,Circulating capital of the sole proprietor (from data),"N27,380","N34,980","N36,180","N51,680",D,1994,
Commerce,"Working capital as at December 31, 1992","N65,250","N60,000","N48,650","N41,950",D,1994,
Commerce,"Company net profit (N108m rev, N91m cost, 45% tax)",N24.65 million,N17.00 million,N9.35 million,N7.65 million,C,1994,
Commerce,Fixtures and fittings in a balance sheet are,Liquid capital,Current assets,Fixed assets,Working capital,C,1994,
Commerce,Government impose import duties EXCEPT to,raise revenue,retaliate,discourage redistribution,protect home industry,C,1994,
Commerce,Sole enterprise flourishes best in,mining business,retailing business,oil exploration,car assembly,B,1994,
Commerce,Use of coin-operated machines to sell goods is,personal selling,retailing,wholesaling,mail-order selling,B,1994,
Commerce,Major function of the wholesaler,small-scale buying,bulk buying/small selling,credit to retailers,market info to mfg,B,1994,
Commerce,Rate at which exports exchange for imports,balance of payments,balance of trade,terms of payment,terms of trade,D,1994,
Commerce,Difference between total imports/exports receipts,balance of payments,balance of trade,comparative advantage,comparative cost,A,1994,
Commerce,Pro forma invoice is NOT required when,quoting for supply,goods on approval,dealing regularly,prices uncertain,C,1994,
Commerce,True statement about sea transport,specific routes,must be insured,insured separately,always arrive with goods,B,1994,
Commerce,Postal organization preceding NIPOST,Post & Telecomm,Post & Telephone,Post & Teleprinter,Post & Telegraph,D,1994,
Commerce,Goods with unpaid duties are kept in,ordinary warehouse,public warehouse,private warehouse,bonded warehouse,D,1994,
Commerce,Compensation expected for N200k goods insured for half,"N40,000","N80,000","N100,000","N200,000",A,1994,
Commerce,Effect of Naira devaluation is that,imports cheaper,other currencies cheaper,exports costlier,imports costlier,D,1994,
